attempted,backend,family,kind,metrics,mode,outcome,repetition,returncode,source_ep_rows,verified
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.184695334, ""process_wall_s"": 0.7831912920228206, ""proof_bytes"": 534800, ""prove_total_s"": 0.188060625, ""setup_s"": 0.364927541, ""verify_s"": 0.204054833, ""witness_localcheck_s"": 0.00336525}",complete,verified,3,0,1024,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.104760042, ""process_wall_s"": 0.3618876250111498, ""proof_bytes"": 504592, ""prove_total_s"": 0.105033458, ""setup_s"": 0.1671945, ""verify_s"": 0.077457875, ""witness_localcheck_s"": 0.000273375}",shadow,verified,3,0,1024,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.099330958, ""process_wall_s"": 0.34904283296782523, ""proof_bytes"": 504592, ""prove_total_s"": 0.0996045, ""setup_s"": 0.162289875, ""verify_s"": 0.074657292, ""witness_localcheck_s"": 0.000273458}",shadow,verified,3,0,2048,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.188322958, ""process_wall_s"": 0.9326811250066385, ""proof_bytes"": 542320, ""prove_total_s"": 0.19484087499999997, ""setup_s"": 0.546951834, ""verify_s"": 0.153343042, ""witness_localcheck_s"": 0.006517875}",complete,verified,3,0,2048,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.300292375, ""process_wall_s"": 1.5300549170351587, ""proof_bytes"": 580416, ""prove_total_s"": 0.313013042, ""setup_s"": 0.9335695, ""verify_s"": 0.218275042, ""witness_localcheck_s"": 0.012720458}",complete,verified,3,0,4096,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.108284375, ""process_wall_s"": 0.3643552499706857, ""proof_bytes"": 504592, ""prove_total_s"": 0.108557542, ""setup_s"": 0.162198625, ""verify_s"": 0.081220125, ""witness_localcheck_s"": 0.0002730419999999999}",shadow,verified,3,0,4096,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.104681041, ""process_wall_s"": 0.37460754200583324, ""proof_bytes"": 512144, ""prove_total_s"": 0.105181833, ""setup_s"": 0.175802333, ""verify_s"": 0.08033199999999999, ""witness_localcheck_s"": 0.000500708}",shadow,verified,3,0,64,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.107540209, ""process_wall_s"": 0.3809940840001218, ""proof_bytes"": 512144, ""prove_total_s"": 0.10803949999999998, ""setup_s"": 0.179750708, ""verify_s"": 0.079902084, ""witness_localcheck_s"": 0.000499209}",complete,verified,3,0,64,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.109971625, ""process_wall_s"": 0.4118410829687491, ""proof_bytes"": 519664, ""prove_total_s"": 0.110761792, ""setup_s"": 0.199622709, ""verify_s"": 0.086778583, ""witness_localcheck_s"": 0.000790125}",complete,verified,3,0,128,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.110081875, ""process_wall_s"": 0.40626641700509936, ""proof_bytes"": 519664, ""prove_total_s"": 0.110869208, ""setup_s"": 0.193928292, ""verify_s"": 0.0863245, ""witness_localcheck_s"": 0.000787292}",shadow,verified,3,0,128,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.129512334, ""process_wall_s"": 0.481636458018329, ""proof_bytes"": 527216, ""prove_total_s"": 0.130951333, ""setup_s"": 0.234527583, ""verify_s"": 0.098689958, ""witness_localcheck_s"": 0.001438875}",shadow,verified,3,0,256,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.123835791, ""process_wall_s"": 0.46613354195142165, ""proof_bytes"": 527216, ""prove_total_s"": 0.12524775, ""setup_s"": 0.225960583, ""verify_s"": 0.0974945, ""witness_localcheck_s"": 0.00141175}",complete,verified,3,0,256,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.131354334, ""process_wall_s"": 0.5773108749999665, ""proof_bytes"": 534768, ""prove_total_s"": 0.134046542, ""setup_s"": 0.311594458, ""verify_s"": 0.107134167, ""witness_localcheck_s"": 0.002688083}",complete,verified,3,0,512,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.144867458, ""process_wall_s"": 0.5891459590056911, ""proof_bytes"": 534768, ""prove_total_s"": 0.147581792, ""setup_s"": 0.307573709, ""verify_s"": 0.108454542, ""witness_localcheck_s"": 0.002714209}",shadow,verified,3,0,512,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.180146333, ""process_wall_s"": 0.8043513750308193, ""proof_bytes"": 542320, ""prove_total_s"": 0.185554542, ""setup_s"": 0.459581708, ""verify_s"": 0.12593125, ""witness_localcheck_s"": 0.005408083}",shadow,verified,3,0,1024,True
True,Binius64,growing-cfg,measured,"{""crypto_prove_s"": 0.174040125, ""process_wall_s"": 0.7982970419689082, ""proof_bytes"": 542320, ""prove_total_s"": 0.179430083, ""setup_s"": 0.4558035, ""verify_s"": 0.129794166, ""witness_localcheck_s"": 0.005389708}",complete,verified,3,0,1024,True
